Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
finger.test,256,1,0.10588,0.076512,0.4539,0.250976,0.702954
ftp.test,49100,32,8.534343,2.206496,13.536594,6.175744,23.232329
ftp.test,49100,8,12.582072,2.206496,13.536594,6.175744,23.232329
ftp.test,49100,4,23.387938,2.206496,13.536594,6.175744,23.232329
ftp.test,49100,1,35.564371,2.206496,13.536594,6.175744,23.232329
ftp.test,16384,32,0.93343,0.516512,4.299019,1.484992,5.24949
ftp.test,16384,8,1.939846,0.516512,4.299019,1.484992,5.24949
ftp.test,16384,4,3.415106,0.516512,4.299019,1.484992,5.24949
ftp.test,16384,1,7.263159,0.516512,4.299019,1.484992,5.24949
ftp.test,4096,32,0.186476,0.210176,1.57234,0.535456,1.923293
ftp.test,4096,8,0.378191,0.210176,1.57234,0.535456,1.923293
ftp.test,4096,4,0.791932,0.210176,1.57234,0.535456,1.923293
ftp.test,4096,1,1.432657,0.210176,1.57234,0.535456,1.923293
ftp.test,256,32,0.020114,0.189472,0.714617,0.377856,0.875392
ftp.test,256,8,0.025422,0.189472,0.714617,0.377856,0.875392
ftp.test,256,4,0.046793,0.189472,0.714617,0.377856,0.875392
ftp.test,256,1,0.069422,0.189472,0.714617,0.377856,0.875392
gopher.test,283400,32,149.606826,65.134016,145.695077,96.356992,172.871058
gopher.test,283400,8,241.36812,65.134016,145.695077,96.356992,172.871058
gopher.test,283400,4,454.176545,65.134016,145.695077,96.356992,172.871058
gopher.test,283400,1,1081.670101,65.134016,145.695077,96.356992,172.871058
gopher.test,262144,32,145.673452,54.11424,123.022757,104.181216,189.2163
gopher.test,262144,8,224.912683,54.11424,123.022757,104.181216,189.2163
gopher.test,262144,4,415.064723,54.11424,123.022757,104.181216,189.2163
gopher.test,262144,1,956.688134,54.11424,123.022757,104.181216,189.2163
gopher.test,131072,32,54.415758,24.984736,60.46654,49.032544,84.177346
gopher.test,131072,8,134.731231,24.984736,60.46654,49.032544,84.177346
gopher.test,131072,4,212.324773,24.984736,60.46654,49.032544,84.177346
gopher.test,131072,1,411.130691,24.984736,60.46654,49.032544,84.177346
gopher.test,65536,32,11.570559,6.502336,35.472739,16.619392,33.248775
gopher.test,65536,8,17.192375,6.502336,35.472739,16.619392,33.248775
gopher.test,65536,4,31.789651,6.502336,35.472739,16.619392,33.248775
gopher.test,65536,1,77.063516,6.502336,35.472739,16.619392,33.248775
gopher.test,16384,32,1.189609,1.695168,5.510139,4.883456,9.916993
gopher.test,16384,8,2.579942,1.695168,5.510139,4.883456,9.916993
gopher.test,16384,4,4.793636,1.695168,5.510139,4.883456,9.916993
gopher.test,16384,1,10.242385,1.695168,5.510139,4.883456,9.916993
gopher.test,4096,32,0.241372,0.29408,1.670817,1.61296,3.011003
gopher.test,4096,8,0.565576,0.29408,1.670817,1.61296,3.011003
gopher.test,4096,4,1.022688,0.29408,1.670817,1.61296,3.011003
gopher.test,4096,1,2.759295,0.29408,1.670817,1.61296,3.011003
gopher.test,256,32,0.018089,0.136768,0.57263,1.253472,1.680804
gopher.test,256,8,0.02179,0.136768,0.57263,1.253472,1.680804
gopher.test,256,4,0.038762,0.136768,0.57263,1.253472,1.680804
gopher.test,256,1,0.046165,0.136768,0.57263,1.253472,1.680804
guildwars.test,500,32,3.983406,0.372832,0.745138,0.500416,0.960459
guildwars.test,500,8,0.079689,0.372832,0.745138,0.500416,0.960459
guildwars.test,500,4,0.158121,0.372832,0.745138,0.500416,0.960459
guildwars.test,500,1,0.202051,0.372832,0.745138,0.500416,0.960459
guildwars.test,256,32,4.428225,0.362336,0.719297,0.391936,0.78376
guildwars.test,256,8,0.031778,0.362336,0.719297,0.391936,0.78376
guildwars.test,256,4,0.059016,0.362336,0.719297,0.391936,0.78376
guildwars.test,256,1,0.076895,0.362336,0.719297,0.391936,0.78376
h323.test,2241830,32,4868.645811,3867.114624,4405.834353,4133.774528,4663.045104
h323.test,2241830,8,13740.390285,3867.114624,4405.834353,4133.774528,4663.045104
h323.test,2241830,4,24515.364183,3867.114624,4405.834353,4133.774528,4663.045104
h323.test,2241830,1,44116.302206,3867.114624,4405.834353,4133.774528,4663.045104
h323.test,2097152,32,4107.263699,3167.285152,3699.650301,3213.46848,3963.498472
h323.test,2097152,8,11412.145426,3167.285152,3699.650301,3213.46848,3963.498472
h323.test,2097152,4,19760.078557,3167.285152,3699.650301,3213.46848,3963.498472
h323.test,2097152,1,36782.492786,3167.285152,3699.650301,3213.46848,3963.498472
h323.test,1048576,32,755.771575,514.355072,806.574446,534.357824,790.456206
h323.test,1048576,8,1775.721666,514.355072,806.574446,534.357824,790.456206
h323.test,1048576,4,2889.414539,514.355072,806.574446,534.357824,790.456206
h323.test,1048576,1,6277.923594,514.355072,806.574446,534.357824,790.456206
h323.test,524288,32,253.310839,135.88736,285.128363,146.616128,283.036324
h323.test,524288,8,424.036205,135.88736,285.128363,146.616128,283.036324
h323.test,524288,4,797.083203,135.88736,285.128363,146.616128,283.036324
h323.test,524288,1,1751.600876,135.88736,285.128363,146.616128,283.036324
h323.test,262144,32,58.772197,36.253216,101.156242,42.947648,112.986959
h323.test,262144,8,120.777215,36.253216,101.156242,42.947648,112.986959
h323.test,262144,4,212.522672,36.253216,101.156242,42.947648,112.986959
h323.test,262144,1,468.755537,36.253216,101.156242,42.947648,112.986959
h323.test,131072,32,25.994838,14.029792,47.488118,18.351104,55.476784
h323.test,131072,8,40.581359,14.029792,47.488118,18.351104,55.476784
h323.test,131072,4,78.406706,14.029792,47.488118,18.351104,55.476784
h323.test,131072,1,157.172747,14.029792,47.488118,18.351104,55.476784
h323.test,65536,32,9.740504,6.705952,35.618987,8.953632,25.491908
h323.test,65536,8,11.615118,6.705952,35.618987,8.953632,25.491908
h323.test,65536,4,17.243358,6.705952,35.618987,8.953632,25.491908
h323.test,65536,1,50.282054,6.705952,35.618987,8.953632,25.491908
h323.test,16384,32,1.134085,0.802368,4.703052,1.283232,6.326026
h323.test,16384,8,2.262723,0.802368,4.703052,1.283232,6.326026
h323.test,16384,4,4.330378,0.802368,4.703052,1.283232,6.326026
h323.test,16384,1,11.651016,0.802368,4.703052,1.283232,6.326026
