FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
ntp.test,8192,1,3.310974,2.925248,3.398554
ntp.test,4096,32,0.262255,2.62464,3.011913
ntp.test,4096,16,0.508376,2.62464,3.011913
ntp.test,4096,8,0.500065,2.62464,3.011913
ntp.test,4096,1,1.654684,2.62464,3.011913
ntp.test,2048,32,0.12327,2.62672,2.965608
ntp.test,2048,16,0.159378,2.62672,2.965608
ntp.test,2048,8,0.265886,2.62672,2.965608
ntp.test,2048,1,1.588613,2.62672,2.965608
rtp.test,1536723,32,45.296646,225.585504,275.506124
rtp.test,1536723,16,54.477723,225.585504,275.506124
rtp.test,1536723,8,92.372292,225.585504,275.506124
rtp.test,1536723,1,651.206015,225.585504,275.506124
rtp.test,1048576,32,33.276025,151.69584,186.954299
rtp.test,1048576,16,62.430288,151.69584,186.954299
rtp.test,1048576,8,61.527936,151.69584,186.954299
rtp.test,1048576,1,439.998157,151.69584,186.954299
rtp.test,524288,32,16.682397,76.73264,96.06886
rtp.test,524288,16,18.006381,76.73264,96.06886
rtp.test,524288,8,35.985943,76.73264,96.06886
rtp.test,524288,1,220.776484,76.73264,96.06886
rtp.test,262144,32,8.317906,39.273216,47.907738
rtp.test,262144,16,14.620887,39.273216,47.907738
rtp.test,262144,8,17.770038,39.273216,47.907738
rtp.test,262144,1,110.377347,39.273216,47.907738
rtp.test,131072,32,4.170581,21.416928,24.894144
rtp.test,131072,16,4.460214,21.416928,24.894144
rtp.test,131072,8,8.947248,21.416928,24.894144
rtp.test,131072,1,54.069849,21.416928,24.894144
rtp.test,65536,32,2.857423,11.944,14.077591
rtp.test,65536,16,4.879962,11.944,14.077591
rtp.test,65536,8,4.513573,11.944,14.077591
rtp.test,65536,1,27.17335,11.944,14.077591
rtp.test,32768,32,1.599299,7.573216,8.782562
rtp.test,32768,16,1.876988,7.573216,8.782562
rtp.test,32768,8,2.428247,7.573216,8.782562
rtp.test,32768,1,13.571589,7.573216,8.782562
rtp.test,16384,32,0.734104,3.712576,4.538227
rtp.test,16384,16,1.596017,3.712576,4.538227
rtp.test,16384,8,1.39648,3.712576,4.538227
rtp.test,16384,1,8.890815,3.712576,4.538227
rtp.test,8192,32,0.510541,2.60464,3.152782
rtp.test,8192,16,0.923024,2.60464,3.152782
rtp.test,8192,8,0.917507,2.60464,3.152782
rtp.test,8192,1,4.462239,2.60464,3.152782
rtp.test,4096,32,0.20254,2.213504,2.58148
rtp.test,4096,16,0.286909,2.213504,2.58148
rtp.test,4096,8,0.563342,2.213504,2.58148
rtp.test,4096,1,2.218583,2.213504,2.58148
rtp.test,2048,32,0.125784,2.210144,2.615701
rtp.test,2048,16,0.280832,2.210144,2.615701
rtp.test,2048,8,0.284325,2.210144,2.615701
rtp.test,2048,1,1.712722,2.210144,2.615701
ssl.test,1475251,32,90.955142,239.92656,287.562512
ssl.test,1475251,16,137.53757,239.92656,287.562512
ssl.test,1475251,8,193.138135,239.92656,287.562512
ssl.test,1475251,1,1178.093106,239.92656,287.562512
ssl.test,1048576,32,62.334677,166.432064,198.979814
ssl.test,1048576,16,109.246896,166.432064,198.979814
ssl.test,1048576,8,117.568085,166.432064,198.979814
ssl.test,1048576,1,839.615483,166.432064,198.979814
ssl.test,524288,32,33.97884,84.242368,101.013986
ssl.test,524288,16,61.632491,84.242368,101.013986
ssl.test,524288,8,59.324301,84.242368,101.013986
ssl.test,524288,1,420.824318,84.242368,101.013986
ssl.test,262144,32,16.832207,43.73088,52.27276
ssl.test,262144,16,26.725527,43.73088,52.27276
ssl.test,262144,8,34.078155,43.73088,52.27276
ssl.test,262144,1,210.148158,43.73088,52.27276
ssl.test,131072,32,8.424136,23.464288,27.931549
ssl.test,131072,16,16.508981,23.464288,27.931549
ssl.test,131072,8,17.180856,23.464288,27.931549
ssl.test,131072,1,104.048318,23.464288,27.931549
ssl.test,65536,32,4.399383,12.93168,15.55362
ssl.test,65536,16,8.433425,12.93168,15.55362
ssl.test,65536,8,8.599437,12.93168,15.55362
ssl.test,65536,1,68.003847,12.93168,15.55362
ssl.test,32768,32,2.919721,7.687168,8.881108
ssl.test,32768,16,2.826693,7.687168,8.881108
ssl.test,32768,8,4.312081,7.687168,8.881108
ssl.test,32768,1,25.961113,7.687168,8.881108
ssl.test,16384,32,1.650354,3.716768,4.463147
ssl.test,16384,16,2.120317,3.716768,4.463147
ssl.test,16384,8,2.776826,3.716768,4.463147
ssl.test,16384,1,13.053506,3.716768,4.463147
ssl.test,8192,32,0.783342,2.669088,3.199995
ssl.test,8192,16,1.737585,2.669088,3.199995
ssl.test,8192,8,1.407934,2.669088,3.199995
ssl.test,8192,1,8.509482,2.669088,3.199995
ssl.test,4096,32,0.477506,1.847296,2.262374
ssl.test,4096,16,1.045666,1.847296,2.262374
ssl.test,4096,8,0.942161,1.847296,2.262374
ssl.test,4096,1,4.254532,1.847296,2.262374
ssl.test,2048,32,0.254712,1.836544,2.131212
ssl.test,2048,16,0.529468,1.836544,2.131212
ssl.test,2048,8,0.509004,1.836544,2.131212
ssl.test,2048,1,2.152094,1.836544,2.131212
tsp.test,1162511,32,35.769505,156.595616,198.011321
